S. no.,extracted_text,LLM_summary,link_to_notice,tags
1,"Netaji Subhas University of Technology
Azad Hind Fauj Marg, Sector-3
Dwarka New Delhi-110078
Department of Physical Education & Sports
Sports Selection Trials Cricket
F.No 143(74)/AIU/PE/NSUT/1119 Dated: 21.08.2024
Students are hereby informed that the Department of Physical Education and Sports (Main
Campus) is conducting the selection trials (For all years and all courses) to select the University
Cricket team for the coming sports tournaments. Please find below the schedule to select the
Cricket team of Netaji Subhas University of Technology, including Main campus, East campus
and West Campus for the year 2024- 2025. The selected team would participate at the various
tournaments for the year 2024-2025.
S. no. Event Date Time Venue
1 Cricket 29.08.2024 2.30 pm NSUT Cricket
(Thursday) Nets(Main
Campus)
INSTRUCTIONS
1 .YOU ALL ARE REQUIRED TO REACH THE CRICKET NETS BY 02:30 PM POSITIVELY.
2. ALL THE STUDENTS SHOULD COME WEARING LOWERS / PAJAMAS / SPORT SHOES. NO
ONE WILL BE ALLOWED TO GIVE TRIALS WEARING JEANS / PANTS / TROUSERS ETC.
3. IF YOU HAVE YOUR OWN CRICKET KIT DO BRING IT. THOSE CANDIDATES WHO DO NOT
OWN A KIT WILL BE PROVIDED ONE BY US.
4. SUPPORTER ARE NECESSARY FOR PRECAUTIONARY MEASURES.
5. THE TRIAL IS FOR ALL CAMPUSES AND WILL BE HELD IN THE MAIN CAMPUS.
Copy To:
1. Director East and West Campus
2. Dean Student Welfare
3. Faculty Incharge Sports East and West Campus
4. AR to VC office for Information to Hon’ble Vice Chancellor Please.
5. PS to the Registrar for information to the Registrar Please.
Dr. Praveen Saroha
Director, Physical Education(o)
","Cricket selection trials to select the University's team for the coming sports tournaments. The selected team would participate at the various tournaments for the year 2024-2025. The selection trials will be held at the Main campus, East campus and West Campus of Netaji Subhas University.",https://www.imsnsit.org/imsnsit/plum_url.php?g3a+DY1Z9ELU1r0VWSmy6juXQCulZnVjJAlswBVlhT15rZMcrwccPJ/mK41Gs6USJSBF8GetJcI9qrmaUcynUXSRhcnIfN7TCggBp1WwaomlwQl1T2dkn12ZOioq/jJoFr1dLhodQ239ZuRqrGup1PVhNX3k9TST53g8E0NCS8GKITG3EZ/wpW/COUr+eDRmrqqfrXXIYy2zZpUSjYi6EQ==,"['Time Table', 'Exam Schedule', 'ECE']"
2,"Netaji Subhas University of Technology
Azad Hind Fauj Marg, Sector-3, Dwarka
New Delhi-110078
Department of Physical Education & Sports
Sports Selection Trials Badminton (Men and Women )
F.No 143(74)/AIU/PE/NSUT/1119 Dated: 21.08.2024
Students are hereby informed that the Department of Physical Education and Sports (Main Campus) is
conducting the selection trials (First Year Students Only) to select the University Badminton team for
the coming sports tournaments like North Zone and All India Inter University Sports Tournament. Please
find below the schedule to select the Badminton (Men and Women) team of Netaji Subhas University
of Technology, including the Main Campus, East Campus, and West Campus for 2024-2025. The selected
team would participate in the various tournaments for the year 2024-2025. Only first-year students of
the current academic year are eligible to participate in the selection trials.
S.No Event Date Time Venue
1 Badminton (Men) 22.08.2024 11.00 am Student Activity
(Tuesday) Centre
(Badminton court)
2 Badminton (Women) 22.08.2024 11.00 am Student Activity
(Tuesday) Centre
(Badminton court)
1
Dr. Praveen Saroha
Director Physical Education (0)
Copy To:
1. Director East and West Campus
2. Dean Student Welfare
3. Faculty Incharge Sports East and West Campus
4. AR to VC office for Information to Hon’ble Vice Chancellor Please.
5. PS to Registrar for information to Registrar Please.
1
Dr. Praveen Saroha
Director Physical Education (0)
",Sports Selection Trials Badminton (Men and Women ) F.No 143(74)/AIU/PE/NSUT/1119 Dated: 21.08.2024. Only first-year students of the current academic year are eligible to participate in the selection trials.,https://www.imsnsit.org/imsnsit/plum_url.php?eo5QKE4+y+54Da4OnmT/1ZU8kAegO42FjKDCamLE370wMTNUj5e+DZvBba1pwdCcK/x0fKKowv/JDS3hHNI2at6R7Jy443c3YGWTTzK1//Wdw4VvMHVmZUIKI7FaQJdOtFpBx2wxTN32iukGH+0ccCn5tU49PX3g2ZX0feJ3arHvfRROgvOTg4wI00K/24S5DrrYuaoyFr1U7oMN24nUNA==,"['Time Table', 'Exam Schedule']"
3,"NETAJI SUBHAS UNIVERSITY OF TECHNOLOGY —7/an om
(Formerly Netaji Subhas Institute of Technology) an ee
Azad Hind Fauj Marg, Sector-3,Dwarka, HATS Ta wT
New Delhi-110078. Si 4a ASleG
F.No. 223(1)\COMM(QUT)\T&P\NSUT\2023\1375 Date: 19-08-2024
NOTICE
The Training & Placement Section is organizing a session on Trends in Semiconductor and Electronics.
The speaker of the session is Mr. Manish Kumar, Director AES Software, NXP Semiconductors. This
will be an online session required to be attend in person at APJ Lecture Hall Complex
Topic: Trends in Semiconductor and Electronics
Date: 20th August, 2024 (Tuesday)
Time: 04:30 pm onwards
Venue: Hall No. 11, APJ Lecture Hall Complex, NSUT Main Campus
All Deans and HODs are hereby requested to cascade the information among students and have the
interested student attend this seminar.
Prof. MPS Bhatia
Prof. In-Charge Training & Placement
Forwarded To:
1. All Deans/HODs
","The Training & Placement Section is organizing a session on Trends in Semiconductor and Electronics. The speaker of the session is Mr. Manish Kumar, Director AES Software, NXP Semiconductors. This will be an online session required to be attend in person at APJ Lecture Hall Complex.",https://www.imsnsit.org/imsnsit/plum_url.php?40scl0+CoUvzgh7+2RXRq7vi4zTw6EjD9WoiTQbkV/OOrsjWY+R8ZLyWA/fIeUbP56q4nQZ/iAt2u2vxYi3hV3kuUb2ypS/2ZkCQ2FDBTg5VZP6keL9zEk/+qV8aDvERohPdmeFjdJ/ffPTur8cQZyaSJkpW8GJ5AajipMWu5lrYUJn+4dXnst7fjAoX3UkUGBppg2gkEeWk+ByPYaAIDQ==,[]
4,"Netaji Subhas University of Technology
Azad Hind Fauj Marg, Sector-3, Dwarka
New Delhi-110078
Department of Physical Education & Sports
Sports Selection Trials Table Tennis (Men and Women )
F.No 143(74)/AIU/PE/NSUT/1119 Dated: 19.08.2024
Students are hereby informed that the Department of Physical Education and Sports (Main Campus) is
conducting the selection trials (First Year Students Only) to select the University Table Tennis team for
the coming sports tournaments like North Zone and All India Inter University Sports Tournament.
Please find below the schedule to select the Table Tennis (Men and Women) team of Netaji Subhas
University of Technology, including Main campus, East campus and West Campus for the year 2024-
2025. The selected team would participate at the various tournaments for the year 2024-2025. Only
The first year students of the current academic year are eligible to participate in the selection trials.
Table Tennis (Men) 20.08.2024 02.00 pm Student Activity
(Tuesday) Centre (Table
Tennis Hall)
2 Table Tennis (Women) 20.08.2024 02.00 pm Student Activity
Dr. Praveen Saroha
Director Physical Education (0)
Copy Io:
1. Director East and West Campus
2. Dean Student Welfare
3. Faculty Incharge Sports East and West Campus
4. AR to VC office for Information to Hon'ble Vice Chancellor Please.
5. PS to Registrar for information to Registrar Please.
is
Dr. Praveen Saroha
Director Physical Education (0)
",First year students of the current academic year are eligible to participate in the selection trials. The selected team would participate at the various tournaments for the year 2024-2025. Table Tennis (Men and Women) 20.08.2024 02.00 pm Student Activity Centre (Table Tennis Hall) Table tennis (Women)20.08,https://www.imsnsit.org/imsnsit/plum_url.php?qwoddrMTdP9raxni0929YueyXgNEweJEOE/1R3o4jFPFRX159ZkIaMktLbX7j1VzuBPjrlaI6Acir6rDXQA1y79so58RFqXL/h96SDnkhWFCEySmL9RBOjljBtXdZAlQTgfMxR6uoCntHe229w0//wohYZst5Uh5i8Ly6OH7bc6RXe8ZjOpdOIQW/JJ/0nBlZjl7oqOJZiw5CcFRElut8Q==,"['Time Table', 'Exam Schedule']"
5,"Notice
MBA Semester 4: MBC2201 Major Project
Students entered the 3rd semester of MBA (2023-2025) batch are required to complete a major
project MBC2201 in their 4"" Semester as per following guidelines.
1.
Students of MBA batch (2023-2025) are expected to complete a project (6 credits, 100
marks, CA 40 + 60 ESE).
Projects will be done individually.
Students are advised to meet the concerned supervisor as per their specialization/interest
area and get the consent form signed. Since each faculty member can take equal number
of students, consent to students will be provided by the supervisors on a first come first
serve basis.
Then, students should submit a signed copy of consent form to the undersigned before
05.09.2024.
Students may be permitted to have an external co-supervisor, besides the departmental
supervisor for guiding the project thesis if required.
A committee constituted by HOD will review and assess the relevance, methodology and
progress of the project report periodically.
The format of the project report to be submitted by the student will be provided in the
google classroom. The details of google classroom created for same is given below.
Google Classroom Code: tz6lsjv
Google Classroom Link:
https://classroom.google.com/c/NZAVOTOINTMyNDEI1?cjc=tz6lsiv
Dr. Renu Ghosh
Coordinator, DPGC
Department of Management Studies
Date:
Consent Form
Student Signature Supervisor Signature
","Students of MBA batch (2023-2025) are expected to complete a project (6 credits, 100marks, CA 40 + 60 ESE) Students are advised to meet the concerned supervisor as per their specialization/interest area and get the consent form signed. The format of the project report to be submitted by the student will be",https://www.imsnsit.org/imsnsit/plum_url.php?m0Rc9GzrcbF2t0iaeiLQh6F12LNlxTfus8zRC/7SaW7qpLipo10a49uTB6nM6Yl49EpjHgi78TiUN86TrxP65hpbu0sk7TwBsaSgdzfiggLtSx2a/G2p8ObsLV11RbLIyCik46sK+7IKxBrXaWkskNV0puAQ5cOjI2EFSxpJYDcdmbGSV/ZYtrGEOLniyHxI9MtmrdSumrsxGYTv/nWeW9ixa0Om8WF+UUmwIUV7tK5OcU0cPkHplzU/uxb2BOSY,[]
6,"NETAJI SUBHAS UNIVERSITY OF TECHNOLOGY
Fateit Gury Wrelirept fayfeerera
(Formerly Netaji Subhas Institute of Technology)
SECTOR-3, DWARKA, NEW DELHI-110078
Website: www.nsut.ac.in
File No.208(139)/B.Tech. Admission/2024/NSUT/67 Date: 18.08.2024
Notice
1. An internal branch upgradation round has been conducted for B. Tech/B. Arch 151
semester students. Due to this recent branch upgrade round, several of you have
been upgraded to new branches effective from 19.08.2024 (Monday).
new roll number as per their upgraded branch.
4. Please note that attendance recorded in your previous branch will not be carried
forward to your new, upgraded branch. You will need to start afresh with your
attendance in the new branch.
5. Itis your responsibility to ensure that you meet the attendance requirements in your
new upgraded branch. To maintain eligibility for Mid- and End-Semester
Examinations, you must attend all classes and make up for any lost attendance.
6. There shall be no relaxation of attendance based on this ground. Adherence fo the
attendance policy is crucial for your academic standing and examination
eligibility. These branch-upgraded students are required to contact the Academic
Section and submit an undertaking in this regard.
7. Faculty members are requested to maintain their attendance even if their names
are not in the roll list. Uodate the attendance on CUMS as and when their names
appear in the roll list.
eae
Dr. Tarun Rawat
Chairman, Admissions-24
","An internal branch upgradation round has been conducted for B. Tech/B. Arch 151semester students. Several of you have been upgraded to new branches effective from 19.08.2024 (Monday) Please note that attendance recorded in your previous branch will not be carriedforward to your new, upgraded branch.",https://www.imsnsit.org/imsnsit/plum_url.php?/Eb5w+W/1lmSIGl4MWt3/FLgUU89Vi7dylPBdOjWBn3OERkUBHQ6vTv6Xns8KgBXMcLt6HBhGO/tX6Bor7Q3U0hOVH9LqBzm36m/G+LZpfKdJiXCsuR08Q7Dw/Fhi1mdHmx/xtWL4tgxEtfFxiqDWs+kN3tdOOcsLTwnLyeE4aEYzRidZl+O3S7i/bQ+ux0r+k8d+sTA2BIa5f66V3vJjJgIxQzfAKj65mpSKhZb1AM=,"['Fee Payment', 'B.Tech', 'ECE']"
7,"NETAJI SUBHAS UNIVERSITY OF TECHNOLOGY
\ (formerly Netaji Subhas Institute of Technology)
Azad Hind Fauj Marg, Sector-3, Dwarka, New Delhi-110078
' Phone No. 25000268 Extn.-2325, Fax: 25099025
~ Website:
F. No. 220(360)/General orders/Acad/2019/NSUT/3Y
 
4 Date:16/08/2024
NOTIFICATION
Subject: Mandatory Attendance and Disciplinary Action for Mass Bunking.
It is directed to inform you that mass bunking of classes is considered a
serious act of indiscipline. Students found involved in mass bunking will face
strict disciplinary action. Additionally, students involved in such activities will
not be granted any relaxation in the attendance criteria in the future,
regardless of the circumstances.
- Please note that strict action will be taken against first-year students who
participate in mass bunking or miss their classes on 21st August 2024 and
27th August 2024. Attendance on these dates is mandatory for all first-year
students.
Furthermore, all course instructors teaching first-year students are requested
to ensure that attendance for the dates mentioned above is marked in the
CUMS system on the same day. This will help identify students who did not
attend their classes, and it will be assumed that such students were involved
in the mass bunk.
We urge you to comply with these directives and maintain the discipline
expected at University.
This issues with the approval of the Competent Authority.
Oy2""""
Section Officer (Acad)
Copy to:
—
 
wa
 
PS
. All Deans , NSUT |
. All HoDs, NSUT : With request to inform the course coordinators of the
Department of the first year students that the attendance of 21st and 27th
August 2024 is marked in the CUMS system on the same day.
Attendance on these dates is mandatory. |
Director East and West Campus.
Coordinator, CUMS.
All Notice Boards, NSUT.
PS to Registrar, NSUT.
SO to Vice Chancellor; NSUT.
",Mass bunking of classes is considered a serious act of indiscipline. Students found involved in mass bunking will face strict disciplinary action. Attendance on these dates is mandatory for all first-year students. Students involved in such activities will not be granted any relaxation in the attendance criteria in the future.,https://www.imsnsit.org/imsnsit/plum_url.php?i6Gc7RqExWYDmBs6jlXcf6VPLOCPHwYgOiwvwHAn2TkqqDzqFmFcv1dZqPNqB1s4qXGyaaZPEBM5aBPekryo65LW9BeA/NDhCY+/j2216QlLmXpFWKLttwmjF1qBZbW90/v2A9WIiz00sRNY3fkxhqrv+KqK/ApYjKEdS+AWEkSxZJe8r4ExofJK0lPXKRfE,['Warnings']
8,"NETAJI SUBHAS UNIVERSITY OF TECHNOLOGY
(formerly Netaji Subhas Institute of Technology)
Azad Hind Fauj Marg, Sector-3, Dwarka, New Delhi-110078
Phone No. 25000268 Extn.-2325, Fax: 25099025
Website: www.nsutac.in
7a 2.
F.No, 220(391)/NSPSchol. /2020-21/Acad/NSUT/Vol.1V/8
 
G7 Dated: /6[0& /2 7
NOTIFICATION
PM YASASVI CENTRAL SECTOR SCHEME OF TOP CLASS EDUCATION IN
COLLEGE FOR OBC, EBC AND DNT STUDENTS
The following students have applied online for the above said scholarship but
till date they have not submitted the hard copy of the same. Therefore, they
have to submit the application alongwith previous year marksheet, latest
income certificate and caste/EWS/ENT/DNT certificate immediately in the
Room No. 103, Academic Section first floor of new building. Kindly ensure that
you complete this submission promptly to avoid any delays.in the processing of
your application.
1 1BR202324000078795 SamikshaJha / Anil kumarjha
2 |BR202324001437780 Aditi / Akhilesh Kumar Sinha
3 | DL202324000183803 PreetikKumari / Tuntunkumar
4 | DL202324001090936 Ravi Prakash / Surya bhan
9 | DL202324001195254 YASH BHATI / KIRAN PAL SINGH BHATI
6 | DL202324001195264 ManavSaini / Mukeshsaini
7 _|DL202324001215231 Shubham Ray / NAGENDRA RAY
8 | DL202324001232530 KeshavRohilla / MahabirRohilla
9 | DL202324001240048 SurajYadav / VirenderYadav
10_ | DL202324001296828 Dhruv / Suresh Kumar
1l_ | DL202324001445669 Mohan Kumar / Shishpal
12 | DL202324001453800 Vishal Sharma / Ranjeet Sharma
13 | RJ202324001294411 PiyushYadav / ChandrajeetYadav
14 | UP202324000859270 PriyeshChaudhari / Kamlesh Kumar
15_| UP202324000860982 IrshadHussain / AbdurRahman
16_| UP202324001266926 AbhishekMaurya / MurliDharMaurya
17_| UP202324002021708 Dheeraj Singh Yadav / Rama Shankar yadav
LP
—
(Section Officer, Academics)
\
CUMS Notice Board
","The following students have applied online for the above said scholarship but until date they have not submitted the hard copy of the same. Therefore, they need to submit the application alongwith previous year marksheet, latest income certificate and caste/EWS/ENT/DNT certificate immediately in the Academic Section first floor of new building. Kindly",https://www.imsnsit.org/imsnsit/plum_url.php?aRgjaNe3cagxsS5lmEzxg6kJcXd0NwmCfjehSi7J77iBRPVH5/SfzTHaTcg2BI7qM7LHbVJzgwU4nWePubZVlPRE/pBrLsaeriDKsMaCR/BQZm7MWSzzJH32Em8OZt+H0fNhR7MoUhoXi/fCphPpAm8gDzswchtUgblBs5+JD+dKtvst+7xamZED4sSO+QdvJ6ICbeizDLAR+x6fFdQAHA==,['Scholorship']
9,"NETAJI SUBHAS UNIVERSITY OF TECHNOLOGY
(formerly Netaji Subha:8 Institute of Technology)
Azad Hind Fauj Marg, Sector-3, Dwarka, New Delhi-110078
Phone No, ascot -2325, Fax: 25099025
ebsite:
NOTIFICATION
Subject: Re-registration for Odd Semester Courses and Examination
es.
It is hereby informed that the students of NSIT Batch 2018 who appeared in
the End Semester Examination held in November-December 2024 are
required to re-register for the Odd Semester courses. Students are advised
to contact the CUMS office for the re-registration process.
Important Date:
+ Last date for re-registration: 20th August 2023
Additionally, students are requested to visit the CUMS office to check the
Academic Calendar for the scheduled dates of the Mid-Semester and End-
Semester Examinations.
Please ensure that the re-registration is completed within the stipulated
time to avoid any inconvenience.
‘This issues with the approval of the Competent Authority.
Ber
( 7
Section officer (Acad)
Copy to:
1, All Deans & HoDs, NSUT.
2. Coordinator, CUMS: With request to re-register the eligible
students of 2018 batch as mentioned above.
3. PS to Registrar
4. AR O/o of the Vice Chancellor
",The students of NSIT Batch 2018 who appeared in the End Semester Examination held in November-December 2024 are required to re-register for the Odd Semester courses. Students are advised to contact the CUMS office for the re-registration process.,https://www.imsnsit.org/imsnsit/plum_url.php?G2Y4VjuKHP2uR2DOwBVqfwKm4BdV8diqG2LAZeNa3n0s0OB8pvh9lZaYQDcaf7HllW+bvfDN7ED8EQTB2NmQ3aJBqkrYtlIokRFQJQxlZ5VcQtzaXxbs2quPrjA2mUXK/JEYtq9kCfllAT2PuTu/SDSj3V0Kh/p6NDTwQwl8LoZNQif3u2QvtMd8VOyU7aUNAN+umMyzIHu2QyNVlUNLKw==,"['Time Table', 'Exam Schedule', 'ECE', 'Backlog']"
10,"Master TT (Format -1)
05:
09:00- 02:00- |03:00- |04:00: | 00-
Days/ Time |08:00-09:00 {10:00 |10:00-11:00 11:00-12:00 |12:00-01:00 |01:00-02:00 [03:00 |04:00 |05:00 |06:00 | 06:00- 07:00
FCEC003
 
/
Monday FCCS002 FCMEO0G
Tuesday FCMT001 FCME006
FCEC003
 
/
Wednesday | FCCS002 FCMEOG
Thursday FCMT001 FCME006
Friday
FCEC003 / FCECO003 /
Saturday FCCS002 FCCS002 FCMTO001 FCMT001
Course Codq Mode o No of Students |
 
Room No. Name of Faculty
FCCHO008_ |Mentor 8
FCCS002 | Batch 95 APJ-5 CSE Department
FCEC003 | Batch 41 APJ-6 ECE Department
FCHS005__|Mentor 8
FCME006 | Batch 88 APJ-5 Mechanical Engineering
FCMT001 | Batch 84 APJ-5 Ms. Kamayani Shukla
FCPH004_ |Mentor 1]
","Master TT ( Format -1) for Mechanical Engineering, CSE, ECE, and CSE-CEE departments. Master TT ( format -2) for CSE and ECE. MasterTT (format -3) for ECE and C SE departments. Masters TT (format-4) for MSE, C",https://www.imsnsit.org/imsnsit/plum_url.php?Cj3j0tmVpSyQveDpGiy+C+0Vax4pCPAWqDjHiwF3o6p8jj06/oJDSGqoOAxdUWD5T6VxFPadZLm4mjCU03wlUVxQppLje2uBdg4PnCRMZOd1YXVBlerRpxNPPWgMQGgTl5XtAawucdblpJ9PwJTyKYZNzUj312kNRTHqHGou26e6c6xCgULf4f80nKw/66raCFtt9b1bj9dDQz/vdyzS7pROq00/+EeOKvX7gK3+zvU=,['ECE']
